Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
04-01-2025,08:08:56,BK775690,Failed,C61128,Prime SUV,Salt Lake,Metiabruz,null,null,null,Personal & Car related issue,null,null,444,null,0,null,null
08-01-2025,23:44:14,BK426087,Failed,C84277,eBike,Kalighat,New Town,203,30,null,null,No,null,158,Cash,13,4.1,4
03-01-2025,10:44:23,BK903433,Success,C81625,Prime Plus,Kalighat,Bowbazar,238,130,null,null,No,null,386,UPI,40,4.2,4.8
12-01-2025,00:56:21,BK214337,Success,C23635,Prime Sedan,Salt Lake,Jadavpur,null,null,Driver is not moving towards pickup location,null,null,null,384,null,0,null,null
06-01-2025,08:48:59,BK318249,Failed,C47966,eBike,Kankurgachi,Garia,252,80,null,null,No,null,822,Credit Card,45,4,3
03-01-2025,05:00:12,BK586756,Success,C54630,eBike,Lake Gardens,New Town,231,90,null,null,No,null,173,UPI,41,3.4,4.6
09-01-2025,23:13:23,BK597845,Success,C91526,Bike,Barasat,Dumdum,133,40,null,null,No,null,140,Cash,49,3.2,4.5
28-01-2025,09:33:53,BK504929,Success,C41453,Bike,Gariahat,Esplanade,null,null,null,Personal & Car related issue,null,null,344,null,0,null,null
07-01-2025,22:31:46,BK208782,Success,C97027,Mini,Kasba,New Town,null,null,null,null,null,null,839,null,0,null,null
15-01-2025,17:52:11,BK823777,Failed,C30524,Prime SUV,Madhyamgram,Moulali,null,null,null,Personal & Car related issue,null,null,893,null,0,null,null
14-01-2025,06:37:11,BK173125,Success,C22596,Prime SUV,Alipore,Bowbazar,35,55,null,null,No,null,164,Cash,46,4.5,3.4
04-01-2025,22:23:32,BK181298,Success,C13448,Bike,Rajarhat,Sealdah,238,95,null,null,No,null,399,Cash,18,3.9,4.4
22-01-2025,00:33:38,BK802840,Success,C63719,Mini,Shyambazar,Alipore,126,35,null,null,No,null,330,UPI,8,3,4.8
15-01-2025,13:22:47,BK387892,Success,C73600,Auto,Behala,Ballygunge,null,null,null,Personal & Car related issue,null,null,427,null,0,null,null
21-01-2025,08:36:55,BK413184,Success,C32256,Mini,Bhawanipore,Kasba,70,95,null,null,No,null,378,UPI,18,4.8,4.1
18-01-2025,05:04:00,BK434501,Failed,C37312,eBike,Hazra,Gariahat,126,95,null,null,No,null,343,UPI,23,3.7,3.6
10-01-2025,01:16:24,BK589031,Success,C73076,Prime Sedan,Kasba,Burrabazar,null,null,null,null,null,null,366,null,0,null,null
25-01-2025,04:38:49,BK170805,Failed,C15598,Prime Plus,Kidderpore,Salt Lake,140,40,null,null,No,null,401,Cash,8,3.3,3.9
24-01-2025,13:47:57,BK530303,Failed,C80908,Prime Plus,Burrabazar,Naktala,42,30,null,null,No,null,343,UPI,17,3,3.8
18-01-2025,22:45:46,BK933232,Failed,C66121,Mini,Sarat Bose Road,Ultadanga,245,70,null,null,No,null,2014,Cash,33,4.2,4.9
06-01-2025,18:22:18,BK903654,Success,C45378,Auto,Madhyamgram,Salt Lake,84,25,null,null,No,null,650,Cash,34,4.9,3.4
07-01-2025,18:19:51,BK857312,Success,C26688,Mini,Tollygunge,College Street,168,65,null,null,No,null,231,Cash,2,3.2,3.7
08-01-2025,20:14:30,BK188835,Success,C47127,Prime SUV,Salt Lake,Chowringhee,null,null,null,Customer was coughing/sick,null,null,909,null,0,null,null
21-01-2025,02:01:29,BK977774,Success,C49469,Prime SUV,Naktala,College Street,231,145,null,null,No,null,189,Cash,6,4.9,3.3
20-01-2025,22:55:34,BK443651,Success,C52668,Bike,Kalighat,Moulali,56,105,null,null,No,null,311,Cash,28,4.3,3
13-01-2025,15:52:20,BK624194,Success,C99174,Auto,College Street,Golf Green,231,50,null,null,No,null,286,UPI,44,4,3.3
24-01-2025,15:16:25,BK415319,Success,C57121,Prime SUV,Sarat Bose Road,BBD Bagh,175,50,null,null,No,null,141,UPI,35,4.7,3.1
22-01-2025,21:48:58,BK270195,Success,C60624,Prime SUV,Bowbazar,Entally,84,60,null,null,No,null,214,UPI,2,3.3,4.5
10-01-2025,15:35:44,BK974382,Failed,C99136,eBike,Kalighat,Moulali,35,145,null,null,No,null,2183,Cash,20,4,4.4
29-01-2025,15:46:22,BK694019,Success,C44117,Prime Sedan,BBD Bagh,Tollygunge,null,null,Driver asked to cancel,null,null,null,604,null,0,null,null
